,unique_words,total_words,lex_div,unusual_words,content_frac,avg_len_words,compound,neg,neu,pos,NN,PR,RB,RBR,RBS,UH,VB,JJ,JJR,JJS,EX,labels,artist
75,134.0,426.0,0.31455399061,8,0.575117370892,3.32863849765,0.9531,0.08,0.797,0.123,0.148741418764,0.173913043478,0.0732265446224,0.0,0.0,0.0,0.178489702517,0.0892448512586,0.0137299771167,0.00686498855835,0.0,Karen-the national,the national
76,37.0,96.0,0.385416666667,6,0.791666666667,2.82291666667,-0.8225,0.114,0.886,0.0,0.393939393939,0.0808080808081,0.030303030303,0.0,0.0,0.0,0.0909090909091,0.030303030303,0.0,0.0,0.0,"Twenty Miles to N.H., Part 2-the national",the national
77,85.0,177.0,0.480225988701,7,0.514124293785,3.52542372881,0.9336,0.08,0.767,0.153,0.213903743316,0.176470588235,0.0160427807487,0.0,0.0,0.0,0.251336898396,0.0909090909091,0.0106951871658,0.0,0.0,Trophy Wife-the national,the national
78,55.0,303.0,0.181518151815,4,0.518151815182,3.41254125413,-0.2865,0.052,0.907,0.041,0.131147540984,0.180327868852,0.0655737704918,0.0,0.0,0.0,0.2,0.016393442623,0.0,0.0,0.0,Rest of Years (demo)-the national,the national
79,135.0,350.0,0.385714285714,10,0.514285714286,3.36571428571,-0.3384,0.102,0.803,0.095,0.149863760218,0.201634877384,0.106267029973,0.0,0.0,0.0,0.1689373297,0.0326975476839,0.0,0.0,0.0,Sleep Well Beast-the national,the national
80,115.0,320.0,0.359375,12,0.46875,3.1875,-0.9975,0.264,0.69,0.046,0.142857142857,0.185410334347,0.0790273556231,0.0,0.0,0.0,0.218844984802,0.0334346504559,0.00303951367781,0.0,0.00303951367781,Day I Die-the national,the national
81,51.0,230.0,0.221739130435,4,0.460869565217,3.49130434783,-0.9912,0.233,0.752,0.015,0.192468619247,0.205020920502,0.0585774058577,0.0,0.0,0.0,0.205020920502,0.0794979079498,0.0,0.0,0.0,Secret Meeting-the national,the national
82,74.0,218.0,0.339449541284,7,0.504587155963,3.7752293578,-0.9349,0.074,0.926,0.0,0.207207207207,0.166666666667,0.0225225225225,0.0,0.0,0.0,0.144144144144,0.018018018018,0.0,0.0,0.0,Walk Off-the national,the national
83,112.0,299.0,0.374581939799,7,0.438127090301,3.49163879599,-0.8644,0.113,0.796,0.09,0.13880126183,0.205047318612,0.0977917981073,0.0,0.0,0.0,0.242902208202,0.0220820189274,0.0,0.0,0.0,Slipped-the national,the national
84,81.0,168.0,0.482142857143,3,0.440476190476,3.50595238095,0.9697,0.026,0.819,0.156,0.163742690058,0.25730994152,0.0350877192982,0.0,0.0,0.0,0.239766081871,0.0292397660819,0.00584795321637,0.0,0.0233918128655,Lucky You (Daytrotter session)-the national,the national
